"site","x","y","date","doy","t","snow","camera","start_date","ndvi","irg","grass_forb","tree","shrub_tree","elev","livestock","live_date","live_cov","live_pres","end_date","photos","ok","peak_irg","days_to_peak","elev_doy","elev_doy2","ndvi_grass_forb","irg_grass_forb"
2,469395.997849251,4437169.39061862,"2019-03-15",74,1,TRUE,"cuddeback","2019-03-15",0.312806755304337,0.574442744255066,0.07,0.17,0.61,5594,0,NA,0,0,NA,0,1,"2019-04-24",40,413956,30632744,0.0218964728713036,0.0402109920978546
3,469911.267525789,4437400.86066775,"2019-03-15",74,1,TRUE,"reconyx","2019-03-15",0.381235659122467,0.974355757236481,0.22,0.1,0.42,5673,0,NA,0,0,NA,0,1,"2019-03-25",10,419802,31065348,0.0838718450069428,0.214358266592026
4,470374.753847107,4437827.69500278,"2019-03-15",74,1,TRUE,"cuddeback","2019-03-15",0.322046667337418,0.330615669488907,0.09,0.27,0.49,5712,0,NA,0,0,NA,0,1,"2019-04-20",36,422688,31278912,0.0289842000603676,0.0297554102540016
5,465246.477614218,4436631.73802455,"2019-03-15",74,1,TRUE,"cuddeback","2019-03-15",0.377140581607819,0.91423374414444,0.32,0.05,0.37,5295,0,NA,0,0,"2019-03-25",0,1,"2019-04-02",18,391830,28995420,0.120684986114502,0.292554798126221
6,465010.116263073,4436536.70305286,"2019-03-15",74,1,TRUE,"cuddeback","2019-03-15",0.294936180114746,0.185330703854561,0.19,0.27,0.38,5335,0,NA,0,0,NA,0,1,"2019-04-15",31,394790,29214460,0.0560378742218018,0.0352128337323666
7,464676.364582064,4436439.24229618,"2019-03-15",74,1,TRUE,"cuddeback","2019-03-15",0.366479367017746,0.997791111469269,0.12,0.33,0.56,5292,0,NA,0,0,NA,0,1,"2019-03-15",0,391608,28978992,0.0439775240421295,0.119734933376312
8,464374.182084552,4436420.67604753,"2019-03-15",74,1,TRUE,"cuddeback","2019-03-15",0.344390004873276,0.921166718006134,0.06,0.41,0.44,5315,0,NA,0,0,"2019-04-07",0,1,"2019-03-30",15,393310,29104940,0.0206634002923965,0.055270003080368
9,463894.214797886,4436347.57933235,"2019-03-15",74,1,TRUE,"reconyx","2019-03-15",0.273954927921295,0.624257445335388,0.46,0.05,0.21,5358,0,NA,0,0,NA,54,1,"2019-04-03",19,396492,29340408,0.126019266843796,0.287158424854279
10,473087.375184713,4427741.43898561,"2019-03-15",74,1,TRUE,"cuddeback","2019-03-23",0.241624787449837,0.0249198600649834,0.34,0.02,0.39,6545,0,NA,0,0,NA,NA,0,"2019-04-21",37,484330,35840420,0.0821524277329445,0.00847275242209434
11,472622.977052633,4427661.84966271,"2019-03-15",74,1,TRUE,"cuddeback","2019-03-23",0.201929733157158,0.0563302114605904,0.23,0,0.39,6453,0,NA,0,0,NA,NA,0,"2019-04-21",37,477522,35336628,0.0464438386261463,0.0129559486359358
12,472438.945013843,4427216.77048094,"2019-03-15",74,1,TRUE,"cuddeback","2019-03-23",0.22700460255146,0.411369323730469,0.2,0,0.32,6260,0,NA,0,0,NA,NA,0,"2019-04-10",26,463240,34279760,0.0454009205102921,0.0822738647460938
13,472196.547993965,4426855.81868924,"2019-03-15",74,1,TRUE,"cuddeback","2019-03-23",0.234452605247498,0.00594845833256841,0.31,0.01,0.38,6155,0,NA,0,0,NA,NA,0,"2019-04-18",34,455470,33704780,0.0726803076267242,0.00184402208309621
14,471763.802712756,4426258.61079887,"2019-03-15",74,1,TRUE,"cuddeback","2019-03-23",0.200780659914017,0.0445889681577682,0.24,0.01,0.28,5984,0,NA,0,0,NA,NA,0,"2019-04-29",45,442816,32768384,0.048187358379364,0.0107013523578644
15,464556.872008565,4428568.55248679,"2019-03-15",74,1,TRUE,"cuddeback","2019-03-23",0.251806735992432,0.474469006061554,0.57,0.03,0.15,5906,0,NA,0,0,NA,NA,0,"2019-03-30",15,437044,32341256,0.143529839515686,0.270447333455086
17,463834.779199141,4428317.33251635,"2019-03-15",74,1,TRUE,"reconyx","2019-03-23",0.265954613685608,0.228637680411339,0.37,0.04,0.18,5715,0,NA,0,0,NA,NA,0,"2019-04-19",35,422910,31295340,0.0984032070636749,0.0845959417521954
18,463293.618828761,4428246.89074715,"2019-03-15",74,1,TRUE,"cuddeback","2019-03-23",0.258737146854401,0.310237735509872,0.42,0.02,0.11,5620,0,NA,0,0,NA,NA,0,"2019-04-20",36,415880,30775120,0.108669601678848,0.130299848914146
19,463075.959070344,4427842.8180706,"2019-03-15",74,1,TRUE,"cuddeback","2019-03-23",0.291464865207672,0.688704192638397,0.5,0.05,0.33,5433,0,NA,0,0,"2019-04-10",NA,0,"2019-04-06",22,402042,29751108,0.145732432603836,0.344352096319199
20,463136.599968315,4427603.11135151,"2019-03-15",74,1,TRUE,"cuddeback","2019-03-23",0.241385400295258,0.368699997663498,0.25,0.12,0.24,5390,0,NA,0,0,NA,NA,0,"2019-04-07",23,398860,29515640,0.0603463500738144,0.0921749994158745
21,461482.143922177,4437715.80228377,"2019-03-15",74,1,TRUE,"cuddeback","2019-03-24",0.312294125556946,0.000412161549320444,0.59,0.05,0.21,5866,0,NA,0,0,"2019-06-06",NA,0,"2019-04-04",20,434084,32122216,0.184253534078598,0.000243175314099062
22,470924.457736472,4439677.72600029,"2019-03-15",74,1,TRUE,"cuddeback","2019-03-24",0.2914097905159,0.0164944659918547,0.19,0.14,0.61,5853,0,NA,0,0,"2019-05-04",NA,0,"2019-05-05",51,433122,32051028,0.0553678601980209,0.00313394853845239
23,470789.541103223,4439080.31891039,"2019-03-15",74,1,TRUE,"cuddeback","2019-03-24",0.268129020929337,0.119913868606091,0.23,0.12,0.47,5804,0,NA,0,0,NA,NA,0,"2019-04-20",36,429496,31782704,0.0616696748137474,0.0275801897794008
